name,region,url_jsdelivr,url_raw
3do,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/3do.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/3do.png
3ds,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/3ds.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/3ds.png
3dsen,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/3dsen.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/3dsen.png
abc80,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/abc80.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/abc80.png
abuse,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/abuse.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/abuse.png
actionmax,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/actionmax.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/actionmax.png
adam,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/adam.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/adam.png
adrenaline,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/adrenaline.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/adrenaline.png
advision,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/advision.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/advision.png
aleck64,default,https://cdn.jsdelivr.net/gh/CkauNui/ckau-book-addons-Colorful-4K-Images@main/ckau-book-addons/_inc/anim/4K/aleck64.png,https://raw.githubusercontent.com/CkauNui/ckau-book-addons-Colorful-4K-Images/main/ckau-book-addons/_inc/anim/4K/aleck64.png
